不错,32.740934224323276,pos,2,a
增强,32.2219270735931,pos,2,v
性能,31.97416930581619,pos,2,n
秒杀,31.953295229426256,pos,2,n
简便,30.938207014942368,pos,2,a
睡觉,30.708955643503064,pos,2,v
中等,30.637689333062227,pos,2,b
太牢,30.270663335878762,pos,2,n
访问,28.72770331525588,pos,2,v
干掉,28.467830201657186,pos,2,v
茅塞顿开,28.326415657461165,pos,4,ns
易懂,28.281081947601436,pos,2,nr
扎实,27.779877270949505,pos,2,a
套路,26.92570189943462,pos,2,n
能力,26.792324211470973,pos,2,n
养成,25.842569665221564,pos,2,v
入门,25.703711738047843,pos,2,ns
隐藏,25.287422531561624,pos,2,v
较差,25.237780542621707,pos,2,a
框架,25.027179375811876,pos,2,n
只敢,24.843002923932147,pos,2,d
架起,24.13578467315999,pos,2,s
玛,24.10603732976594,pos,1,nr
拳师,24.10603732976594,pos,2,n
写出,23.968853635493105,pos,2,v
满满,23.830628772656862,pos,2,v
包会,23.74790817887731,pos,2,v
包看,23.74790817887731,pos,2,v
啦,23.639000010056762,pos,1,y
重拳出击,23.196013864581445,pos,4,i
喜喜,23.16493101881951,pos,2,v
打不动拳,22.913392251823538,pos,4,v
困难,22.582253006634538,pos,2,an
推荐,22.527350386375712,pos,2,v
进度,22.39715724882419,pos,2,d
听说,22.279212981913325,pos,2,v
负责,22.235986304976166,pos,2,v
目测,21.815453738183788,pos,2,v
欢呼,21.810581446239773,pos,2,v
一旦,21.745188835643937,pos,2,d
鼻青脸肿,21.690999830487094,pos,4,l
隔世之感,21.60663473645077,pos,4,l
正儿八经,21.56708225026651,pos,4,nz
辅助,21.481418455565652,pos,2,vn
满意,21.241124155473287,pos,2,v
神清气爽,21.229135957850623,pos,4,i
变形,21.16569376328291,pos,2,n
喝彩,21.16493101881951,pos,2,v
选手,21.028392432195304,pos,2,v
快,20.832010434541083,pos,1,a
哈哈,20.828922509207658,pos,2,o
超越,20.75992602033525,pos,2,v
即可,20.52840611797375,pos,2,d
无所谓,20.524276946918253,pos,3,l
速解,20.48271888833984,pos,2,n
保命,20.35429743907703,pos,2,v
抓耳挠腮,20.164931018819512,pos,4,i
炮,19.9950060173772,pos,1,n
菜鸟,19.96271628628054,pos,2,n
不长不短,19.940553256819705,pos,4,i
填数,19.765877539452347,pos,2,n
收获,19.747356840976597,pos,2,v
